country,newCases,date
Serbia,1676,2021/12/28
Georgia,1661,2021/12/26
Peru,1660,2021/12/16
Belarus,1655,2021/12/18
Belarus,1654,2021/12/22
Lebanon,1646,2021/12/23
Belarus,1644,2021/12/17
Slovakia,1644,2021/12/27
Eswatini,1642,2021/12/16
Zimbabwe,1636,2021/12/22
United Arab Emirates,1621,2021/12/25
Lithuania,1619,2021/12/17
Bulgaria,1614,2021/12/17
Kenya,1609,2021/12/17
Lebanon,1606,2021/12/17
Lithuania,1599,2021/12/28
Sri Lanka,1597,2021/12/29
Belarus,1596,2021/12/16
Kenya,1596,2021/12/27
Lesotho,1591,2021/12/24
Nigeria,1584,2021/12/17
Peru,1581,2021/12/19
Lithuania,1581,2021/12/24
Palestine,1575,2021/12/20
Mexico,1557,2021/12/20
Slovenia,1554,2021/12/21
Austria,1550,2021/12/27
Nigeria,1547,2021/12/26
Zambia,1539,2021/12/26
Belarus,1529,2021/12/25
Namibia,1527,2021/12/22
Slovenia,1526,2021/12/15
Montenegro,1507,2021/12/29
Kenya,1504,2021/12/28
Morocco,1504,2021/12/29
Cote d'Ivoire,1502,2021/12/29
Madagascar,1501,2021/12/18
Chile,1494,2021/12/25
Laos,1493,2021/12/16
Belarus,1493,2021/12/29
Chile,1492,2021/12/16
Chile,1482,2021/12/23
Lebanon,1479,2021/12/19
Peru,1478,2021/12/15
Eswatini,1469,2021/12/15
Bulgaria,1463,2021/12/22
Brazil,1458,2021/12/19
Democratic Republic of Congo,1456,2021/12/16
Belarus,1456,2021/12/19
Israel,1455,2021/12/25
Lithuania,1453,2021/12/21
Bulgaria,1443,2021/12/16
Chile,1433,2021/12/17
Nigeria,1424,2021/12/15
Uruguay,1417,2021/12/29
Chile,1415,2021/12/18
Chile,1399,2021/12/24
Zimbabwe,1392,2021/12/24
Mozambique,1382,2021/12/17
Kenya,1372,2021/12/19
Hungary,1370,2021/12/28
Nigeria,1368,2021/12/29
Iran,1361,2021/12/18
Serbia,1359,2021/12/15
Lithuania,1359,2021/12/19
Israel,1356,2021/12/20
Nigeria,1356,2021/12/24
Zambia,1356,2021/12/27
Slovenia,1355,2021/12/16
Bolivia,1355,2021/12/26
Panama,1354,2021/12/28
United Arab Emirates,1352,2021/12/24
Israel,1351,2021/12/24
Panama,1348,2021/12/29
Laos,1341,2021/12/22
Malta,1337,2021/12/29
Namibia,1334,2021/12/20
Serbia,1325,2021/12/16
Latvia,1319,2021/12/29
Lebanon,1311,2021/12/26
Nigeria,1305,2021/12/25
Malta,1298,2021/12/28
Georgia,1296,2021/12/20
Zambia,1294,2021/12/17
Slovenia,1288,2021/12/18
Slovenia,1278,2021/12/17
Bulgaria,1278,2021/12/27
Slovakia,1272,2021/12/25
Uganda,1272,2021/12/29
Romania,1271,2021/12/29
Serbia,1268,2021/12/22
Malawi,1265,2021/12/24
Ghana,1264,2021/12/28
Namibia,1263,2021/12/19
Slovenia,1263,2021/12/22
Lithuania,1255,2021/12/25
Chile,1252,2021/12/19
Uganda,1251,2021/12/25
Laos,1249,2021/12/18
Serbia,1249,2021/12/27
Laos,1245,2021/12/15
Israel,1241,2021/12/26
Ecuador,1238,2021/12/16
Bulgaria,1235,2021/12/28
Mozambique,1234,2021/12/16
Burundi,1217,2021/12/20
Bolivia,1206,2021/12/27
